lat,lon,id,link
23,112.94,foshan,https://aqicn.org/city/guangdong/fushanshi/wenhualubianzhan/
22.56,112.94,jiangmen,https://aqicn.org/city/guangdong/jiangmenshi/jianghaifumin/
22.8,107.93,nanning,https://aqicn.org/city/china/nanning/shijiancezhan/
22.51,113.24,zhongshan,https://aqicn.org/city/guangdong/zhongshan/zhangxi/
22.55,113.72,shenzhen,https://aqicn.org/city/shenzhen/
22.33,114.12,hongkong,https://aqicn.org/city/hongkong/mong-kok/
22.16,113.52,macau,https://aqicn.org/city/macau/parque-central-da-taipa/
21.78,111.66,yangjiang,https://aqicn.org/city/guangdong/yangjiang/yuanyanghu/
21.6,110.82,maoming,https://aqicn.org/city/guangdong/maoming/gaoling/
21.27,110.20,zhanjiang,https://aqicn.org/city/guangdong/zhanjiang/huanbaojusushe/
23.1,105.43,baise,https://aqicn.org/city/china/baise/shijiancezhan/
24.93,102.65,kunming,https://aqicn.org/city/china/kunming/dongfengdonglu/
16.83,96.01,yangon,https://aqicn.org/city/maynmar/rangoon/us-embassy/
17.96,102.52,vientiane,https://aqicn.org/city/laos/vientiane/us-embassy/
18.79,98.87,chiangmai,https://aqicn.org/city/chiang-mai/
13.72,100.3,bangkok,https://aqicn.org/city/bangkok/
3.13,101.6,kuala-lumpur,https://aqicn.org/city/kuala-lumpur/
1.34,103.71,singapore,https://aqicn.org/city/singapore/central/
6.18,106.83,jakarta,https://aqicn.org/city/indonesia/jakarta/us-consulate/south/


































